batch_size,dispatch_captured,forward_id,hidden_shape_in,hidden_shape_out,kv_len,layer_idx,layer_module_path,past_len,phase,position_shape,q_len
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",54,28,model.layers.31,53,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",54,29,model.layers.31,53,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",54,30,model.layers.31,53,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",54,31,model.layers.31,53,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,0,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,1,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,2,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,3,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,4,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,5,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,6,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,7,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,8,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,9,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,10,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,11,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,12,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,13,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,14,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,15,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,16,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,17,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",631,18,model.layers.31,630,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",65,19,model.layers.31,64,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",65,20,model.layers.31,64,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",65,21,model.layers.31,64,decode,"[1, 1]",1
1,False,8,"[1, 1, 4096]","[1, 1, 4096]",65,22,model.layers.31,64,decode,"[1, 1]",1
